序号,姓名,科室,职称,好评率,关注数,擅长领域
19,茹峰,外科,副主任医师,97,4707,"泌尿系常见病的诊断及治疗，尤其擅长前列腺增生症、膀胱肿瘤、泌尿系结石和膀胱过度活动症等下尿路刺激症状的规范化诊疗"
20,李建英,其他科室,副主任医师,100,5758,"抑郁障碍、双相情感障碍、焦虑障碍、精神分裂症等精神科常见病，多发病的诊断和治疗"
21,胡晓东,其他科室,主治医师,99,2688,"焦虑症，强迫症，抑郁症，心境障碍，精神分裂症，躯体疾病所致精神障碍，青少年焦虑抑郁，产后抑郁，更年期综合征，老年认知障碍"
22,曹晓华,其他科室,副主任医师,100,8413,"抑郁、焦虑、强迫、失眠、适应障碍、精神病性障碍，以及注意缺陷多动障碍、抽动障碍、孤独症谱系障碍等儿童青少年精神心理问题的诊疗"
23,刘霞,其他科室,主治医师,99,6081,"焦虑障碍、抑郁障碍、强迫症、躯体形式障碍、失眠、精神分裂症等精神科常见病和多发病的诊治"
24,杨春霞,其他科室,副主任医师,98,5026,"心境障碍（双相障碍，抑郁障碍）、焦虑障碍等精神疾病的诊断及治疗。物理诊疗技术在精神疾病中的应用"
25,郎小娥,其他科室,主任医师,99,5654,"难治性抑郁症、慢性精神病、精神分裂症、焦虑障碍、强迫症、青春期心理障碍、更年期综合征、躯体功能紊乱"
26,和元娜,五官科,主治医师,97,2648,"牙体牙髓病、牙周病、粘膜病的诊断和治疗"
27,王珏,五官科,副主任医师,96,5435,"活动、烤瓷、全口义齿修复；牙周病的修复治疗，套筒冠义齿修复"
28,赵哲,五官科,副主任医师,98,4844,"龋病；牙髓炎；根尖周炎；牙龈炎；牙周炎；各类粘膜病；口腔溃疡；灼口综合征；口腔扁平苔藓；白斑的诊断和治疗"
29,杨彤彤,五官科,主任医师,98,10512,"各类错合畸形的矫治，唇腭裂正畸治疗，睡眠呼吸暂停综合征的口腔治疗"
30,贺振华,五官科,主治医师,96,6474,"口腔颌面部外伤、肿瘤，涎腺疾病，先天畸形的诊断和治疗"
31,王小琴,五官科,主任医师,98,7184,"各类错牙畸形的正畸治疗"
32,郑瑞,其他科室,主任医师,96,4699,"银屑病，痤疮，荨麻疹，过敏性皮肤病，瘙痒，免疫性，美容性皮肤病"
33,白立仁,其他科室,主任医师,97,11169,"皮肤科的常见病、疑难病、性病的诊断及治疗"
34,郭再唐,其他科室,主任医师,97,10698,"白癜风，银屑病等皮肤疾病以及性病淋病的诊断与治疗"
35,任晓丽,其他科室,主任医师,100,8728,"于银屑病、痤疮、过敏性皮肤病如皮炎、湿疹、荨麻疹等的临床研究和各种性病的诊治"
36,苏振兴,其他科室,副主任医师,99,4821,"过敏性皮肤病；尖锐湿疣"
37,王映全,普外科,主任医师,100,7516,"肝胆结石及肝胆肿瘤等疾病治疗、肝胆胰创伤急救及腹腔镜微创手术"
38,黄河,普外科,主任医师,99,11075,"胃肠外科疾病的诊治，临床与肿瘤营养支持治疗，肥胖和2型糖尿病的外科治疗，腹腔镜和机器人手术在胃肠外科诊疗中的应用，外科危重症的综合治疗"
39,常进军,普外科,主治医师,99,5814,"腹腔镜胆囊切除术，腹腔镜保留胆囊取石术，腹腔镜胆总管切开取石术，腹腔镜脾切除术，腹腔镜阑尾及疝手术等，及各种普外和肝胆疑难疾病的手术治疗"
40,贾红燕,外科,主任医师,100,2735,"乳腺癌的预防和诊治；胸部肿瘤"
41,王世明,外科,主任医师,95,2179,"运用腹腔镜、胆道镜等微创外科方法治疗肝、胆外科疾病"
42,薛乃照,外科,副主任医师,100,4726,"立体定向功能神经外科，微创治疗颅内肿瘤，例如脑胶质瘤、垂体瘤、脑动脉瘤等"
43,马宁,外科,副主任医师,98,2046,"颅内动脉瘤、脑血管畸形、硬脑膜动静脉瘘的神经介入治疗与显微外科治疗；颈动脉狭窄、椎动脉狭窄、颅内动脉狭窄的神经介入治疗与显微外科治疗；胶质瘤、脑膜瘤等颅脑肿瘤的外科治疗与放化疗综合治疗；脑出血、脑积水、脑梗死、颅脑外伤等常见神经外科疾病诊疗；神经外科重症患者的治疗"
44,卢向东,外科,主任医师,96,9689,微创治疗拇外翻，陈旧性跟骨骨折，跟骨骨折畸形愈合，扁平足，高弓足，踝关节距腓前韧带损伤等足踝疑难病症
45,张建平,外科,主任医师,99,5695,脊柱外科、创伤、骨关节退行性疾病，骨科常见病及多发病的诊断和治疗
46,贾二龙,外科,副主任医师,96,4721,拇外翻、扁平足、先天性马蹄内翻足、足踝损伤、脊柱骨折、脊髓损伤、肌肉拉伤或扭伤、上肢骨关节损伤、下肢骨关节损伤、软组织损伤；运动系统畸形、关节病、脊柱疾病、脊柱、脊髓损伤；足踝部畸形矫正，足踝部疼痛治疗
47,高宏飞,外科,主任医师,99,11944,泌尿系肿瘤、结石、肾上腺外科疾病、前列腺增生等泌尿外科常见疾病的诊治
48,张泓,外科,主任医师,100,3561,经尿道前列腺电切和膀胱肿瘤电切、肾上腺及肾脏手术
49,王长生,五官科,主任医师,97,9181,耳鼻咽喉疾病的诊疗，变应性疾病的诊治
50,温树信,五官科,主任医师,96,9892,头颈肿瘤
51,霍云奎,心胸外科,主任医师,96,3643,心胸外科疑难杂症、食管癌和贲门癌的研究
52,王志斌,心胸外科,主任医师,97,7091,心脏瓣膜病，冠心病，大血管疾病的外科治疗以及先心病的外科及介入治疗
53,梁法禹,心胸外科,副主任医师,97,10048,复杂的先天性心脏病手术、风湿性心脏病瓣膜置换术、冠状动脉搭桥术等多种危重疑难心脏病的诊断与手术
54,秦乐泽,心胸外科,副主任医师,99,10833,心脏瓣膜病，冠心病，先天性心脏病
55,闫晓亮,心胸外科,副主任医师,96,7365,肺结节、肺磨玻璃结节、肺癌、孤立性肺结节、胸腺瘤、纵隔肿瘤、肺大疱、自发性气胸、肺良性肿瘤、食管癌、贲门癌、食管良性肿瘤、贲门肿瘤、肋骨骨折、肺损伤；肺部小结节的诊断与微创手术治疗，肺癌、肺部良性病的诊疗
56,闫喆一,眼科,主任医师,96,10687,眼科常见病、多发病的诊治，专业特长为眼底病
57,董静,眼科,副主任医师,100,11699,眼整形、斜弱视手术治疗及视神经、黄斑、葡萄膜等复杂眼底疾病；对眼科常见病多发病经验丰富
58,张东磊,眼科,副主任医师,97,10350,糖尿病视网膜病变、老年黄斑变性；视网膜血管病变及神经眼科疾病的诊治，白塞病等各类葡萄膜炎疾病的诊治
59,苏强,眼科,副主任医师,97,3644,眼部常见疾病、青光眼、白内障、糖尿病视网膜疾病、黄斑疾病、出血性眼底病、眼外伤、眼眶骨折、眼眶肿瘤等疾病的诊治
60,李春晖,眼科,副主任医师,95,8626,青少年近视防控，白内障手术、玻璃体手术、视网膜手术、泪道手术及眼底疾病的诊断和治疗
61,韩晓强,其他科室,副主任医师,98,10447,四肢脊柱各类骨折及髋膝关节退变的精确诊断与综合治疗
62,田永祥,其他科室,主治医师,100,5489,膝关节半月板损伤、交叉韧带损伤，关节镜手术
63,孙海飚,其他科室,副主任医师,96,5875,脊柱外科，骨质疏松症,骨科常见病及多发病的诊断和治疗
64,冯瑞铮,其他科室,主治医师,100,4589,擅长重睑、眼袋、隆鼻、玻尿酸注射等面部年轻化手术，隆胸及局部脂肪抽吸等体型雕塑手术，以及体表肿物切除、创面修复及器官再造等手术
65,钱会利,其他科室,副主任医师,100,8712,面部整形美容，耳、鼻再造，创伤修复，疤痕整形，唇腭裂治疗
66,吕季芳,其他科室,主任医师,97,11213,整形外科常见疾病的一般治疗,及常见皮肤软组织疾病的治疗
67,王小兵,其他科室,主任医师,100,7443,精细颜面部美容整形手术，尤其眉眼部手术包括重睑术、上睑下垂矫正、睑袋切除术等,鼻整形术,唇颏整形术,下颌角整形术,耳整形术,面部除皱术,面部自体脂肪填充;隆乳、缩乳术,乳头乳晕整形术;腹部吸脂、切脂手术
68,张宝林,其他科室,主任医师,100,11763,婴幼儿血管瘤、成人血管瘤、血管瘤术后疤痕、疖、痈、丹毒、黑痣、脐疝、唇裂、臁疮、痤疮、斑秃,及甲状舌囊肿、瘘切除术、包皮环切术、阴茎全切术、小阴茎矫正术、阴茎离断再植术,阴茎部分切除术,巨大阴茎矫形手术
69,刘玉萍,内科,未明确,95,5632,以中西医结合的方法治疗多种内科病
70,贾军梅,感染科,主任医师,96,4586,淋巴瘤、乳腺肿瘤;浆细胞病;呼吸系统肿瘤;消化道肿瘤;肝胆胰腺肿瘤;肺癌的诊断、内科治疗,如鳞癌、腺癌、大细胞肺癌、小细胞肺癌等,以及癌性疼痛的药物治疗
71,赵和平,肿瘤科,主任医师,96,10133,原发性肝癌、胃癌、纤维瘤、脂肪瘤、血管瘤等疾病的诊治
72,戎冬文,肿瘤科,副主任医师,96,6448,肺癌;非小细胞肺癌;小细胞肺癌;胸膜间皮瘤;胰腺癌;肝癌;卵巢肿瘤;宫颈肿瘤;胸腺瘤;前列腺肿瘤;肾癌;膀胱癌;黑色素瘤;影像引导下的肿瘤穿刺活检术;肿瘤微创消融术;肿瘤粒子植入术等;肿瘤靶向治疗;肿瘤免疫治疗
73,仇海乐,肿瘤科,副主任医师,97,8094,肿瘤内科微创治疗(实体肿瘤穿刺活检及微创消融治疗)及呼吸系统肿瘤、肝脏肿瘤的内科综合治疗及晚期肿瘤癌痛患者的止痛姑息治疗
74,罗东萍,风湿免疫科,副主任医师,98,9453,各类风湿免疫疾病及内科常见病的诊治,如类风湿关节炎,系统性红斑狼疮,强直性脊柱炎等
75,王凯,风湿免疫科,副主任医师,95,2850,痛风,类风湿性关节炎,系统性红斑狼疮,药物性红斑狼疮,深在性红斑狼疮,骨关节炎,骨性关节炎,痛风性关节炎等疾病的诊治
76,任寿安,呼吸内科,主任医师,99,11052,慢性阻塞性肺病、支气管哮喘、肺间质纤维化、胸部肿瘤、睡眠呼吸障碍及呼吸道疾病的介入治疗等
77,张晓云,呼吸内科,主任医师,100,2214,呼吸系统常见病、多发病,尤其是支气管哮喘、慢性肺疾病的诊治
78,李爱民,呼吸内科,主任医师,95,6661,重症肺部疾病的处理,继发性肺部感染的处理,病毒性肺炎,慢性肺炎,支气管肺炎,喘息性支气管炎等疾病诊治
79,孔晓梅,呼吸内科,主任医师,95,11208,慢性咳嗽,哮喘,慢阻肺,肺炎,肺栓塞,气胸,胸腔积液,肺间质病和肺癌等呼吸系统疾病
80,杨晓娟,其他科室,主治医师,100,4779,在呼吸系统疾病的诊断治疗方面积累了丰富的工作经验
81,张毅,其他科室,主任医师,95,8536,脑血管病,老年痴呆,帕金森病,眩晕等神经内科专科疾病以及相关老年全科疾病的诊断和治疗
82,仲剑克,其他科室,主任医师,100,9969,慢性阻塞性肺疾病、肺心病、呼吸衰竭、肺癌、肺栓塞、支气管哮喘等疾病的诊治
83,张生林,其他科室,主任医师,97,10932,神经内科及老年科疾病的诊治,老年性痴呆,脑血管疾病等
84,阴津华,内分泌科,副主任医师,99,10113,肥胖、糖尿病、高脂血症、骨质疏松症、甲状腺功能亢进症、甲状腺功能减退等疾病的诊治
85,钱启东,内分泌科,主治医师,97,6777,糖尿病,垂体,肾上腺等内分泌疾病,特别专长身材矮小及甲状腺等疾病的诊治
86,任毅,内分泌科,副主任医师,96,9251,甲状腺结节、甲状腺功能亢进、甲状腺功能减退、高脂血症、糖尿病、垂体疾病、肾上腺疾病等内分泌常见及疑难疾病
87,齐昊,内分泌科,主任医师,95,8072,尿崩症、垂体瘤、皮质醇症、甲状腺炎、胰岛素瘤、Ⅰ型糖尿病、妊娠合并糖尿病、原发性醛固酮增多症等疾病
88,王慧芳,神经内科,副主任医师,96,5538,癫痫，神经系统遗传性疾病,脑血管病
89,李常新,神经内科,主任医师,99,2295,周围神经病、植物神经紊乱、面神经麻痹、头痛、偏头痛、偏瘫、睡眠障碍、失眠症、脑血管疾病
90,郭军红,神经内科,主任医师,99,10545,肌肉病变,周围神经病变,脑血管病变及神经内科各种疑难杂症的诊治
91,王天栋,神经内科,主任医师,97,11818,边缘叶脑炎的诊断及治疗
92,刘婷,其他科室,副主任医师,99,9647,胆管癌、胆管结石、肝癌、肝硬化、肝炎、炎症性肠病等疾病的诊治
93,李慧,其他科室,主治医师,96,8953,慢性肾衰竭、急性肾衰竭
94,师永盛,内科,主治医师,99,11072,消化道出血;痔疮;脂肪肝;胰腺炎;溃疡性结肠炎;炎症性肠病;消化性溃疡;胃炎;胃息肉;食管肿瘤;肝硬化;消化内镜
95,赵和平,内科,副主任医师,100,4480,消化道出血、病毒性肝炎、甲型肝炎、戊型肝炎、自身免疫性肝病
96,党小红,内科,主任医师,98,3976,溃疡性结肠炎;慢性胃炎;胃肠功能紊乱;肝硬化;便秘;顽固性便秘;胃肠息肉治疗
97,冀文敏,内科,副主任医师,97,4616,肠炎;肠道息肉;便秘;肠梗阻;结肠癌;肠憩室
98,闫晓梅,心内科,主任医师,95,11293,冠心病，心绞痛，心肌梗死,高血压,心律失常,心力衰竭的诊断治疗，冠脉造影、支架植入、起搏器植入、射频消融术介入手术
99,药红梅,心内科,主任医师,95,7904,心血管内科疾病(急性冠脉综合症,高血压病,心包疾病,心肌炎,心肌病,急慢性心衰,各种复杂心律失常,血脂异常等)的药物规范治疗;经食道和心内电生理检查;起博器植入;心动过速的射频消融术;冠状动脉造影;经皮冠状动脉腔内成形术(PTCA)支架植入
100,吴磊,心内科,副主任医师,99,5403,冠心病 心律失常
101,范春雨,心内科,主任医师,95,7563,心血管内科常见疾病
102,范星火,内科,主任医师,95,3364,急慢性白血病、各类贫血、血小板减少性疾病及淋巴瘤等疾病有丰富的临床经验
103,魏芳,内科,主任医师,95,4408,贫血、淋巴结肿大、脾大，不明原因发热，淋巴瘤、多发性骨髓瘤、急性白血病、慢性白血病，再生障碍性贫血、浆细胞性白血病、缺铁性贫血、溶血性贫血等；免疫靶向治疗，造血干细胞移植，cart细胞治疗
104,张伟华,内科,主任医师,97,5727,再生障碍性贫血、急性白血病高白细胞方面的研究、再生障碍性贫血免疫机制研究
105,樊润梅,内科,主任技师,95,6258,呼吸、消化、泌尿及感染等常见病及多发病；发热、紫癜、黄疸、淋巴结肿大、肝脾肿大及关节肿痛等待查的疑难杂症；血象异常、贫血、血小板减少、白血病、淋巴瘤、出血及组织细胞增多症等血液肿瘤系统疾病
